3372 9769
713 716 B
261 389 B
11 263 B
353 586 B
567 658 B
470 646 A
448 569 A
221 313 A
115 407 B
325 559 A
456 650 B
198 665 B
154 479 A
112 569 A
315 337 A
221 630 B
602 693 B
381 428 A
335 475 A
699 700 B
98 250 B
33 147 A
331 542 B
599 636 A
533 587 B
697 710 B
406 628 B
627 648 A
89 197 A
190 333 B
29 470 A
514 644 B
1 510 B
427 584 B
333 543 A
39 694 B
241 590 A
142 184 A
591 709 B
394 407 A
412 621 A
118 274 A
595 690 B
434 515 A
220 391 A
460 703 B
700 707 A
220 496 A
617 624 B
680 714 B
42 121 B
16 712 A
332 584 B
197 211 A
298 574 B
160 613 B
374 585 B
462 536 B
16 554 B
97 699 B
525 588 B
202 233 A
655 672 B
134 196 B
282 685 B
573 592 B
670 705 A
56 107 B
348 623 A
671 713 A
440 506 A
296 586 A
413 430 B
16 77 A
11 465 A
502 686 B
649 705 B
505 631 A
121 469 A
54 385 A
447 702 B
688 701 A
144 173 A
114 489 B
108 348 A
353 598 B
34 144 A
57 185 B
71 199 A
516 636 B
12 184 A
502 650 A
209 646 A
340 630 A
144 295 A
577 711 B
66 326 A
525 643 B
445 601 A
639 672 B
218 377 B
499 601 A
540 558 B
588 713 A
560 658 B
115 283 B
286 401 A
123 291 A
577 659 A
615 676 A
658 680 A
268 538 A
56 486 B
679 719 B
83 332 B
665 682 A
353 504 A
470 532 B
653 676 B
189 326 B
635 703 A
491 592 B
549 606 A
276 447 A
109 464 A
648 685 B
1 363 B
214 273 B
66 675 B
580 709 A
157 367 A
404 698 A
463 691 A
234 543 B
506 520 B
422 566 A
334 657 A
526 710 B
342 485 B
16 655 B
673 719 A
348 570 A
195 320 B
446 693 A
96 637 B
548 704 A
506 651 B
631 715 A
681 707 B
137 194 A
114 255 A
333 555 A
404 485 B
405 424 A
338 547 B
14 533 A
227 709 A
487 517 B
63 110 A
13 513 B
353 551 A
213 328 A
251 640 B
673 681 B
416 659 B
38 599 A
235 237 A
604 708 B
302 716 B
292 698 B
133 396 B
411 568 B
101 208 A
475 640 B
6 80 A
613 632 B
142 303 B
69 500 B
145 564 A
5 49 B
288 547 A
417 646 A
524 585 B
50 486 A
385 492 A
707 715 A
61 274 A
469 564 A
480 638 B
26 132 B
3 298 B
547 654 A
485 551 B
522 710 B
705 706 A
636 695 B
545 592 B
440 471 A
164 487 B
524 643 B
463 516 A
129 151 A
33 318 A
477 669 B
218 667 A
100 605 B
553 590 A
471 656 A
83 356 B
212 528 A
175 386 A
389 673 A
348 624 B
625 717 A
62 226 B
384 543 B
270 333 B
51 203 B
332 383 B
249 296 B
411 689 B
100 609 A
354 392 A
558 623 B
41 493 B
408 503 B
71 562 A
258 440 B
397 547 B
24 275 A
469 532 A
693 696 B
546 649 B
180 640 A
144 178 B
390 717 A
492 676 A
217 422 A
518 636 B
131 187 B
95 680 A
448 719 B
255 616 B
543 665 A
269 578 B
495 676 B
366 393 B
469 600 B
559 590 B
185 671 B
413 550 A
440 650 A
699 707 A
353 648 A
254 437 A
443 715 A
163 570 B
308 567 B
651 711 A
69 604 B
646 673 A
251 439 B
546 689 B
303 604 A
65 690 A
349 568 A
502 621 A
49 53 A
603 614 B
147 309 A
298 616 B
26 313 A
188 545 A
281 680 B
509 671 B
78 509 A
373 552 B
617 663 B
184 599 B
167 552 B
610 662 A
199 512 B
517 573 B
575 593 B
502 640 B
623 698 B
190 401 A
64 662 B
431 530 B
478 531 B
692 712 B
32 327 A
81 287 A
110 584 A
461 682 A
236 551 A
223 411 B
38 568 A
520 570 A
685 687 A
547 587 A
408 412 A
325 363 B
357 408 A
263 323 A
701 705 B
25 34 A
79 451 B
168 669 B
384 462 A
292 662 B
353 556 B
424 693 A
237 398 A
503 634 B
645 687 B
279 587 B
51 575 A
444 658 B
390 629 B
91 384 A
157 162 B
517 708 A
627 692 A
116 288 A
559 705 B
532 667 B
676 716 B
297 544 A
150 384 A
163 628 A
480 659 A
353 550 B
170 201 A
82 164 A
429 578 A
230 664 A
189 280 A
266 315 A
480 658 A
532 566 A
542 712 A
44 656 A
665 682 B
601 701 B
75 161 A
630 693 B
61 603 A
717 720 B
388 451 A
167 501 A
271 714 A
465 542 B
531 602 B
237 700 B
362 709 A
404 679 B
662 679 B
276 662 A
187 509 A
417 422 A
651 717 A
390 400 B
518 594 A
412 441 B
24 488 B
380 441 B
667 719 A
327 619 A
615 709 A
584 605 A
575 578 B
576 646 A
66 345 A
473 589 A
583 661 A
708 716 B
218 359 B
369 484 A
366 619 B
678 694 B
566 688 B
268 492 B
151 398 A
25 400 A
106 425 A
649 664 A
373 565 B
318 693 B
623 627 A
232 422 A
490 634 A
194 536 B
588 595 B
538 578 B
103 133 A
476 613 B
433 646 A
419 681 B
692 698 B
590 624 B
8 234 B
224 610 B
330 583 A
661 710 B
466 630 B
698 705 B
122 199 B
162 544 B
422 609 A
221 648 B
386 479 B
628 672 B
378 536 A
436 571 A
620 655 B
131 225 B
46 524 A
199 345 B
5 474 A
50 494 A
655 674 B
208 329 A
462 491 B
225 312 A
172 670 A
258 654 A
38 112 A
451 685 B
550 605 A
434 486 B
260 583 B
409 571 B
361 690 B
38 215 B
81 680 B
2 190 B
474 595 B
436 536 B
46 430 A
690 700 A
167 639 B
592 603 B
677 714 B
557 609 B
341 539 A
9 514 A
398 655 B
606 644 A
431 522 B
546 644 A
13 659 A
182 622 B
62 466 B
571 643 B
690 718 A
275 317 A
615 622 B
113 584 B
270 549 B
379 441 A
596 672 B
608 675 B
659 677 A
5 100 B
537 540 A
387 514 A
84 317 A
15 374 B
175 600 A
549 636 A
82 426 A
97 674 B
69 314 B
329 540 B
175 563 A
83 167 A
528 698 A
425 559 A
544 550 B
522 653 A
75 272 B
148 417 A
566 650 A
683 716 B
170 343 A
320 691 A
12 45 A
701 716 B
402 654 B
430 522 B
678 705 B
327 569 A
298 413 A
89 667 B
116 639 B
298 425 B
573 683 A
518 694 A
245 282 A
503 538 B
51 653 B
485 668 A
25 256 B
418 637 B
280 675 A
250 600 B
529 621 B
614 719 B
690 703 B
22 446 B
138 366 A
24 65 B
535 681 A
3 486 B
441 628 A
589 715 A
641 717 A
3 234 A
230 536 B
86 413 A
353 611 B
339 430 A
628 689 A
32 699 A
333 644 B
585 708 B
429 709 B
22 312 A
223 369 B
719 720 B
53 250 B
71 376 B
674 685 A
186 654 A
473 616 A
120 268 B
568 679 B
340 526 A
165 211 A
76 635 B
198 534 B
251 326 A
716 719 B
588 621 A
214 581 A
252 340 A
101 195 B
75 95 A
63 143 B
38 640 A
357 487 A
409 519 A
62 717 A
351 679 B
401 461 B
445 529 B
187 508 A
592 618 A
190 544 A
200 559 B
527 597 B
484 637 B
495 569 B
483 708 A
532 642 A
588 656 B
123 620 A
322 672 B
232 546 B
38 256 B
115 577 A
680 716 B
407 719 B
249 500 B
634 659 A
294 511 A
701 707 B
165 411 A
313 555 B
386 537 A
578 601 B
610 664 A
697 701 A
157 688 B
633 703 B
588 676 A
323 555 A
231 630 A
112 262 B
484 491 A
108 701 A
254 601 A
106 511 A
204 657 B
330 450 B
645 711 A
353 355 A
583 683 A
51 304 A
156 668 B
266 460 A
608 709 B
540 565 B
210 314 B
277 399 A
12 215 B
543 591 B
298 441 B
73 154 B
27 351 A
206 522 A
702 705 B
351 534 B
496 599 A
113 318 A
606 665 B
56 518 B
662 707 A
355 594 A
431 495 B
561 572 A
49 304 B
353 534 A
451 512 B
92 198 A
217 375 A
201 390 B
252 317 B
653 707 A
608 673 B
192 382 B
196 269 A
570 679 B
460 639 B
315 440 A
467 620 B
3 17 A
119 136 B
259 370 A
281 575 A
243 342 B
207 386 B
309 481 B
10 557 B
690 694 A
533 709 B
399 659 B
433 683 A
634 717 A
167 422 A
552 714 B
672 705 A
440 676 A
225 416 A
151 642 B
233 332 A
210 633 B
371 686 B
46 463 A
584 684 B
704 714 A
282 470 A
350 629 A
198 381 B
239 485 A
482 539 A
69 353 A
422 647 A
252 529 B
702 710 A
511 566 A
293 683 B
479 709 B
267 406 A
522 564 A
650 653 B
450 514 B
521 578 A
212 598 B
264 347 A
469 578 B
172 533 A
198 441 B
505 708 A
577 683 A
55 251 B
191 345 B
307 537 A
43 197 B
377 444 B
532 695 A
176 259 A
576 706 B
399 661 A
704 707 A
564 577 A
293 440 A
306 571 B
332 376 B
493 684 B
533 568 A
66 131 B
715 716 B
345 412 A
443 458 A
179 480 B
377 412 B
202 613 B
710 713 B
245 683 A
556 606 B
539 631 B
554 604 B
175 234 B
459 643 A
289 454 A
424 686 A
35 115 B
221 493 A
139 402 A
398 505 B
544 551 B
689 717 A
278 574 A
345 509 A
686 716 A
247 257 A
77 334 B
151 519 B
283 506 B
322 615 A
350 489 B
656 665 A
337 475 B
62 650 B
207 272 A
627 667 A
228 462 B
293 621 A
238 661 B
279 293 A
600 701 B
558 666 A
2 340 B
308 496 A
276 453 B
534 655 B
100 681 B
26 566 B
21 493 A
179 709 B
338 355 B
321 514 A
353 624 B
536 670 A
385 488 B
336 609 A
256 364 B
517 544 B
415 689 A
498 514 A
344 705 A
619 630 A
48 65 B
322 365 B
